ID,Acronym,Hemisphere,"Sample Number
Brain 1","Sample Number
Brain 2",Structures represented with at least n=2 samples in both brains,Structures,,,,,,,,,
4147,ITG,,,,,,,,,,inferior temporal gyrus,,,,
4148,ITG,L,,,,,,,,,,"inferior temporal gyrus, Left",,,
4149,ITG-its,L,6,4,x,,,,,,,,"inferior temporal gyrus, Left, bank of the its",,
4150,ITG-l,L,5,2,x,,,,,,,,"inferior temporal gyrus, Left, lateral bank of gyrus",,
4151,ITG-mts,L,9,3,x,,,,,,,,"inferior temporal gyrus, Left, bank of mts",,
4152,ITG,R,,,,,,,,,,"inferior temporal gyrus, Right",,,
4153,ITG-its,R,8,5,,,,,,,,,"inferior temporal gyrus, Right, bank of the its",,
4154,ITG-l,R,6,2,,,,,,,,,"inferior temporal gyrus, Right, lateral bank of gyrus",,
4155,ITG-mts,R,8,4,,,,,,,,,"inferior temporal gyrus, Right, bank of mts",,
4140,MTG,,,,,,,,,,middle temporal gyrus,,,,
4141,MTG,L,,,,,,,,,,"middle temporal gyrus, Left",,,
4142,MTG-s,L,10,6,x,,,,,,,,"middle temporal gyrus, Left, superior bank of gyrus",,
4143,MTG-i,L,10,5,x,,,,,,,,"middle temporal gyrus, Left, inferior bank of gyrus",,
4144,MTG,R,,,,,,,,,,"middle temporal gyrus, Right",,,
4145,MTG-s,R,10,6,,,,,,,,,"middle temporal gyrus, Right, superior bank of gyrus",,
4146,MTG-i,R,11,4,,,,,,,,,"middle temporal gyrus, Right, inferior bank of gyrus",,
4177,PLP,,,,x,,,,,,planum polare,,,,
4178,PLP,L,2,1,,,,,,,,"planum polare, Left",,,
4179,PLP,R,1,2,,,,,,,,"planum polare, Right",,,
4171,PLT,,,,x,,,,,,planum temporale,,,,
4172,PLT,L,4,1,,,,,,,,"planum temporale, Left",,,
4173,PLT,R,2,1,,,,,,,,"planum temporale, Right",,,
4133,STG,,,,,,,,,,superior temporal gyrus,,,,
4134,STG,L,,,,,,,,,,"superior temporal gyrus, Left",,,
4135,STG-l,L,3,2,x,,,,,,,,"superior temporal gyrus, Left, lateral bank of gyrus",,
4136,STG-i,L,6,4,x,,,,,,,,"superior temporal gyrus, Left, inferior bank of gyrus",,
4137,STG,R,,,,,,,,,,"superior temporal gyrus, Right",,,
4138,STG-l,R,4,,,,,,,,,,"superior temporal gyrus, Right, lateral bank of gyrus",,
4139,STG-i,R,5,5,,,,,,,,,"superior temporal gyrus, Right, inferior bank of gyrus",,
4174,TP,,,,,,,,,,temporal pole,,,,
4175,TP,L,,,,,,,,,,"temporal pole, Left",,,
4903,TP-s,L,1,2,x,,,,,,,,"temporal pole, Left, superior aspect",,
4904,TP-i,L,1,1,x,,,,,,,,"temporal pole, Left, inferior aspect",,
4905,TP-m,L,2,,at least n=1 per structure both brains,,,,,,,,"temporal pole, Left, medial aspect",,
4176,TP,R,,,,,,,,,,"temporal pole, Right",,,
4906,TP-s,R,1,2,,,,,,,,,"temporal pole, Right, superior aspect",,
4907,TP-i,R,3,2,,,,,,,,,"temporal pole, Right, inferior aspect",,
4908,TP-m,R,1,1,,,,,,,,,"temporal pole, Right, medial aspect",,
4168,TG,,,,at least n=1 per structure both brains,,,,,,transverse gyri,,,,
4169,TG,L,1,,,,,,,,,"transverse gyri, Left",,,
4170,TG,R,2,1,,,,,,,,"transverse gyri, Right",,,
4275,CxN,,,,,,,,Cerebral Nuclei,,,,,,
4327,Amg,,,,,,,,,Amygdala,,,,,
4328,ATZ,,,,x,,,,,,Amygdaloid Transition Zone,,,,
4329,ATZ,L,2,1,,,,,,,,"Amygdaloid Transition zone, Left",,,
4330,AHiA,L,,,,,,,,,,,"Amygdalohippocampal area, Left",,
4331,PAC,L,,,,,,,,,,,"Peri-Amygdaloid Cortex, Left",,
4332,PAC2,L,,,,,,,,,,,,"PAC2, Left",
4333,PAC3,L,,,,,,,,,,,,"PAC3, Left",
4334,PACs,L,,,,,,,,,,,,"PACs, Left",
4335,ATZ,R,,2,,,,,,,,"Amygdaloid Transition zone, Right",,,
4336,AHiA,R,,,,,,,,,,,"Amygdalohippocampal area, Right",,
4337,PAC,R,,,,,,,,,,,"Peri-Amygdaloid Cortex, Right",,
4338,PAC2,R,,,,,,,,,,,,"PAC2, Right",
4339,PAC3,R,,,,,,,,,,,,"PAC3, Right",
4340,PACs,R,,,,,,,,,,,,"PACs, Right",
4341,BLA,,,,x,,,,,,Basolateral Nucleus,,,,
4342,BLA,L,2,2,,,,,,,,"Basolateral Nucleus, Left",,,
4343,BLAm,L,,,,,,,,,,,"Basolateral Nucleus, Magnocellular, Left",,
4344,BLAi,L,,,,,,,,,,,"Basolateral Nucleus, Intermediate, Left",,
4345,BLAp,L,,,,,,,,,,,"Basolateral Nucleus, Parvicellular, Left",,
4346,BLA,R,,3,,,,,,,,"Basolateral Nucleus, Right",,,
4347,BLAm,R,,,,,,,,,,,"Basolateral Nucleus, Magnocellular, Right",,
4348,BLAi,R,,,,,,,,,,,"Basolateral Nucleus, Intermediate, Right",,
4349,BLAp,R,,,,,,,,,,,"Basolateral Nucleus, Parvicellular, Right",,
4350,BMA,,,,at least n=1 per structure both brains,,,,,,Basomedial Nucleus,,,,
4351,BMA,L,1,2,,,,,,,,"Basomedial nucleus, Left",,,
4352,BMAmc,L,,,,,,,,,,,"Basomedial Nucleus, Magnocellular division, Left",,
4353,BMApc,L,,,,,,,,,,,"Basomedial Nucleus, Parvicellular division, Left",,
4354,BMAvm,L,,,,,,,,,,,"Basomedial Nucleus, Ventromedial division, Left",,
4355,BMA,R,,3,,,,,,,,"Basomedial nucleus, Right",,,
4356,BMAmc,R,,,,,,,,,,,"Basomedial Nucleus, Magnocellular division, Right",,
4357,BMApc,R,,,,,,,,,,,"Basomedial Nucleus, Parvicellular division, Right",,
4358,BMAvm,R,,,,,,,,,,,"Basomedial Nucleus, Ventromedial division, Right",,
4359,CeA,,,,x,,,,,,Central Nucleus,,,,
4360,CeA,L,2,1,,,,,,,,"Central Nucleus, Left",,,
4361,CeAm,L,,,,,,,,,,,"Central Nucleus, Medial division, Left",,
4362,CeAl,*/,,,,,,,,,,,"Central Nucleus, Lateral division, Left",,
4363,CeA,R,,1,,,,,,,,"Central Nucleus, Right",,,
4364,CeAm,R,,,,,,,,,,,"Central Nucleus, Medial division, Right",,
4365,CeAl,R,,,,,,,,,,,"Central Nucleus, Lateral division, Right",,
4366,COMA,,,,x,,,,,,Cortico-medial group,,,,
4367,COMA,L,2,2,,,,,,,,"Cortico-medial group, Left",,,
4368,COAa,L,,,,,,,,,,,"Anterior Cortical Nucleus, Left",,
4370,MA,L,,,,,,,,,,,"Medial Nucleus, Left",,
4369,COAp,L,,,,,,,,,,,"Posterior Cortical Nucleus, Left",,
4371,COMA,R,,2,,,,,,,,"Cortico-medial group, Right",,,
